0x2a7e org.bluetooth.characteristic.aerobic_heart_rate_lower_limit
0x2a7f org.bluetooth.characteristic.aerobic_threshold
0x2a80 org.bluetooth.characteristic.age
0x2a81 org.bluetooth.characteristic.anaerobic_heart_rate_lower_limit
0x2a82 org.bluetooth.characteristic.anaerobic_heart_rate_upper_limit
0x2a83 org.bluetooth.characteristic.anaerobic_threshold
0x2a84 org.bluetooth.characteristic.aerobic_heart_rate_upper_limit
0x2a85 org.bluetooth.characteristic.date_of_birth
0x2a86 org.bluetooth.characteristic.date_of_threshold_assessment
0x2a87 org.bluetooth.characteristic.email_address
0x2a88 org.bluetooth.characteristic.fat_burn_heart_rate_lower_limit
0x2a89 org.bluetooth.characteristic.fat_burn_heart_rate_upper_limit
0x2a8a org.bluetooth.characteristic.first_name
0x2a8b org.bluetooth.characteristic.five_zone_heart_rate_limits
0x2a8c org.bluetooth.characteristic.gender
0x2a8d org.bluetooth.characteristic.heart_rate_max
0x2a8e org.bluetooth.characteristic.height
0x2a8f org.bluetooth.characteristic.hip_circumference
0x2a90 org.bluetooth.characteristic.last_name
0x2a91 org.bluetooth.characteristic.maximum_recommended_heart_rate
0x2a92 org.bluetooth.characteristic.resting_heart_rate
0x2a93 org.bluetooth.characteristic.sport_type_for_aerobic_and_anaerobic_thresholds
0x2a94 org.bluetooth.characteristic.three_zone_heart_rate_limits
0x2a95 org.bluetooth.characteristic.two_zone_heart_rate_limits
0x2a96 org.bluetooth.characteristic.vo2_max
0x2a97 org.bluetooth.characteristic.waist_circumference
0x2a98 org.bluetooth.characteristic.weight
0x2a99 org.bluetooth.characteristic.database_change_increment
0x2a9a org.bluetooth.characteristic.user_index
0x2a9b org.bluetooth.characteristic.body_composition_feature
0x2a9c org.bluetooth.characteristic.body_composition_measurement
0x2a9d org.bluetooth.characteristic.weight_measurement
0x2a9e org.bluetooth.characteristic.weight_scale_feature
0x2a9f org.bluetooth.characteristic.user_control_point
0x2aa0 org.bluetooth.characteristic.magnetic_flux_density_2d
0x2aa1 org.bluetooth.characteristic.magnetic_flux_density_3d
0x2aa2 org.bluetooth.characteristic.language
0x2aa3 org.bluetooth.characteristic.barometric_pressure_trend
0x2aa4 org.bluetooth.characteristic.bond_management_control_point
0x2aa5 org.bluetooth.characteristic.bond_management_feature
0x2aa6 org.bluetooth.characteristic.gap.central_address_resolution
0x2aa7 org.bluetooth.characteristic.cgm_measurement
0x2aa8 org.bluetooth.characteristic.cgm_feature
0x2aa9 org.bluetooth.characteristic.cgm_status
0x2aaa org.bluetooth.characteristic.cgm_session_start_time
0x2aab org.bluetooth.characteristic.cgm_session_run_time
0x2aac org.bluetooth.characteristic.cgm_specific_ops_control_point
0x2aad org.bluetooth.characteristic.indoor_positioning_configuration
0x2aae org.bluetooth.characteristic.latitude
0x2aaf org.bluetooth.characteristic.longitude
0x2ab0 org.bluetooth.characteristic.local_north_coordinate
0x2ab1 org.bluetooth.characteristic.local_east_coordinate
0x2ab2 org.bluetooth.characteristic.floor_number
0x2ab3 org.bluetooth.characteristic.altitude
0x2ab4 org.bluetooth.characteristic.uncertainty
0x2ab5 org.bluetooth.characteristic.location_name
0x2ab6 org.bluetooth.characteristic.uri
0x2ab7 org.bluetooth.characteristic.http_headers
0x2ab8 org.bluetooth.characteristic.http_status_code
0x2ab9 org.bluetooth.characteristic.http_entity_body
0x2aba org.bluetooth.characteristic.http_control_point
0x2abb org.bluetooth.characteristic.https_security
0x2abc org.bluetooth.characteristic.tds_control_point
0x2abd org.bluetooth.characteristic.ots_feature
0x2abe org.bluetooth.characteristic.object_name
0x2abf org.bluetooth.characteristic.object_type
0x2ac0 org.bluetooth.characteristic.object_size
0x2ac1 org.bluetooth.characteristic.object_first_created
0x2ac2 org.bluetooth.characteristic.object_last_modified
0x2ac3 org.bluetooth.characteristic.object_id
0x2ac4 org.bluetooth.characteristic.object_properties
0x2ac5 org.bluetooth.characteristic.object_action_control_point
0x2ac6 org.bluetooth.characteristic.object_list_control_point
0x2ac7 org.bluetooth.characteristic.object_list_filter
0x2ac8 org.bluetooth.characteristic.object_changed
0x2ac9 org.bluetooth.characteristic.resolvable_private_address_only
0x2acc org.bluetooth.characteristic.fitness_machine_feature
0x2acd org.bluetooth.characteristic.treadmill_data
0x2ace org.bluetooth.characteristic.cross_trainer_data
0x2acf org.bluetooth.characteristic.step_climber_data
0x2ad0 org.bluetooth.characteristic.stair_climber_data
0x2ad1 org.bluetooth.characteristic.rower_data
0x2ad2 org.bluetooth.characteristic.indoor_bike_data
0x2ad3 org.bluetooth.characteristic.training_status
0x2ad4 org.bluetooth.characteristic.supported_speed_range
0x2ad5 org.bluetooth.characteristic.supported_inclination_range
0x2ad6 org.bluetooth.characteristic.supported_resistance_level_range
0x2ad7 org.bluetooth.characteristic.supported_heart_rate_range
0x2ad8 org.bluetooth.characteristic.supported_power_range
0x2ad9 org.bluetooth.characteristic.fitness_machine_control_point
0x2ada org.bluetooth.characteristic.fitness_machine_status
0x2adb org.bluetooth.characteristic.mesh_provisioning_data_in
0x2adc org.bluetooth.characteristic.mesh_provisioning_data_out
0x2add org.bluetooth.characteristic.mesh_proxy_data_in
0x2ade org.bluetooth.characteristic.mesh_proxy_data_out
0x2ae0 org.bluetooth.characteristic.average_current
0x2ae1 org.bluetooth.characteristic.average_voltage
0x2ae2 org.bluetooth.characteristic.boolean
0x2ae3 org.bluetooth.characteristic.chromatic_distance_from_planckian
0x2ae4 org.bluetooth.characteristic.chromaticity_coordinates
0x2ae5 org.bluetooth.characteristic.chromaticity_in_cct_and_duv_values
0x2ae6 org.bluetooth.characteristic.chromaticity_tolerance
0x2ae7 org.bluetooth.characteristic.cie_13_3_1995_color_rendering_index
0x2ae8 org.bluetooth.characteristic.coefficient
0x2ae9 org.bluetooth.characteristic.correlated_color_temperature
0x2aea org.bluetooth.characteristic.count_16
0x2aeb org.bluetooth.characteristic.count_24
0x2aec org.bluetooth.characteristic.country_code
0x2aed org.bluetooth.characteristic.date_utc
0x2aee org.bluetooth.characteristic.electric_current
0x2aef org.bluetooth.characteristic.electric_current_range
